T,PD_1_0,PD_2_1,PD_2_2,PD_2_3,PD_2_4,PD_3_5,PD_3_6,PD_3_7,PD_3_8,PD_3_9,PD_3_10,PD_4_11,PD_4_12,PD_4_13,PD_4_14,PD_4_15,PD_4_16,QD_1_0,QD_2_1,QD_2_2,QD_2_3,QD_2_4,QD_3_5,QD_3_6,QD_3_7,QD_3_8,QD_3_9,QD_3_10,QD_4_11,QD_4_12,QD_4_13,QD_4_14,QD_4_15,QD_4_16,PV_2_0,PV_4_1,Load_scale,Irrad,pt,Delta_t,T_i,S_Irrad
1,27.307612,23.924368,26.824292,21.507766,27.065952,24.89101,21.991086,19.332823,24.407689,25.37433,28.032593,28.032593,25.37433,25.61599,25.13267,20.782785,20.782785,17.944231,15.721052,17.626634,14.133067,17.785433,16.356246,14.450664,17.150239,16.832642,12.703881,16.038649,16.673843,16.673843,16.832642,16.515045,13.656672,13.656672,0,0,0.6243,0,0.06243,1,4.73,0
2,26.310314,23.050629,25.844644,20.722283,26.077479,23.981967,21.187952,18.626771,23.516298,24.447637,27.008818,27.008818,24.447637,24.680471,24.214802,20.023779,20.023779,17.288892,15.146905,16.982894,13.616915,17.135893,15.758902,13.922913,16.523897,16.217899,12.239923,15.452903,16.0649,16.0649,16.217899,15.911901,13.157918,13.157918,0,0,0.6015,0,0.06015,1,4.48,0
3,25.033072,21.931629,24.590008,19.716313,24.81154,22.817756,20.159376,17.722529,22.374692,23.260819,25.697666,25.697666,23.260819,23.48235,23.039287,19.051718,19.051718,16.449597,14.411594,16.158454,12.955878,16.304026,14.993881,13.247021,15.721739,15.430596,11.645733,14.702738,15.285024,15.285024,15.430596,15.139453,12.519163,12.519163,0,0,0.5723,0,0.05723,1,4.57,0
4,23.0341,20.180318,22.626417,18.141902,22.830259,20.995684,18.549585,16.307328,20.588001,21.403367,23.645625,23.645625,21.403367,21.607209,21.199526,17.530377,17.530377,15.136044,13.260782,14.868149,11.921309,15.002097,13.796571,12.189204,14.466308,14.198413,10.715783,13.528677,14.064466,14.064466,14.198413,13.930518,11.519467,11.519467,0,0,0.5266,0,0.05266,1,4.39,0
5,24.044521,21.065554,23.618954,18.93772,23.831738,21.916687,19.363287,17.02267,21.491121,22.342254,24.682871,24.682871,22.342254,22.555038,22.129471,18.29937,18.29937,15.800006,13.842484,15.52036,12.444253,15.660183,14.401776,12.723899,15.100891,14.821245,11.185845,14.12213,14.681422,14.681422,14.821245,14.541599,12.024784,12.024784,0,0,0.5497,0,0.05497,1,4.34,1.62
6,26.765222,23.449177,26.291501,21.080573,26.528362,24.396618,21.554294,18.94883,23.922897,24.870339,27.475803,27.475803,24.870339,25.107199,24.633479,20.369992,20.369992,17.587819,15.408797,17.27653,13.852353,17.432174,16.031375,14.163642,16.809597,16.498308,12.451553,15.720086,16.342663,16.342663,16.498308,16.187019,13.38542,13.38542,0,0,0.6119,0.1,0.06119,1,4,45.2
7,26.913942,23.579471,26.437589,21.197706,26.675765,24.532177,21.674059,19.054118,24.055824,25.00853,27.628471,27.628471,25.00853,25.246707,24.770354,20.483177,20.483177,17.685545,15.494415,17.372526,13.929323,17.529036,16.120452,14.242341,16.902999,16.58998,12.52074,15.807434,16.433471,16.433471,16.58998,16.276962,13.459795,13.459795,0.1748,0,0.6153,0.3,0.06153,1,5.3,169.13
8,28.348652,24.83643,27.846906,22.3277,28.097779,25.839922,22.829446,20.069842,25.338176,26.341668,29.101271,29.101271,26.341668,26.592541,26.090795,21.57508,21.57508,18.628314,16.320381,18.298609,14.671858,18.463462,16.979791,15.001563,17.804052,17.474348,13.188187,16.650086,17.309495,17.309495,17.474348,17.144643,14.177301,14.177301,9.2044,1.6224,0.6481,0.5,0.06481,1,6.6,327.05
9,30.500718,26.721868,29.960882,24.022689,30.2308,27.801539,24.562525,21.593429,27.261704,28.341375,31.310471,31.310471,28.341375,28.611293,28.071457,23.212936,23.212936,20.042468,17.55933,19.687734,15.78566,19.865101,18.268798,16.140394,19.155633,18.800899,14.189358,17.914064,18.623532,18.623532,18.800899,18.446165,15.25356,15.25356,13.354,11.3007,0.6973,0.6,0.06973,1,6.48,473.83
10,35.080418,30.734172,34.459526,27.62971,34.769972,31.975957,28.250602,24.835694,31.355064,32.596849,36.011757,36.011757,32.596849,32.907295,32.286403,26.698371,26.698371,23.051856,20.195874,22.643858,18.155887,22.847857,21.011869,18.563884,22.031862,21.623865,16.319898,20.603871,21.419866,21.419866,21.623865,21.215867,17.54389,17.54389,16.3504,16.2238,0.802,0.7,0.0802,1,7.37,601.42
11,36.659475,32.117593,36.010634,28.873391,36.335054,33.415273,29.522232,25.95361,32.766433,34.064114,37.632735,37.632735,34.064114,34.388534,33.739693,27.900131,27.900131,24.089477,21.10494,23.663114,18.973128,23.876296,21.957665,19.39949,23.023571,22.597208,17.054497,21.531302,22.384027,22.384027,22.597208,22.170846,18.333584,18.333584,17.0312,18.4056,0.8381,0.8,0.08381,1,8.17,656.08
12,37.805493,33.121627,37.136369,29.776008,37.470931,34.459874,30.445132,26.764951,33.790751,35.128998,38.809179,38.809179,35.128998,35.46356,34.794436,28.772322,28.772322,24.842542,21.764705,24.402851,19.56625,24.622697,22.644087,20.005941,23.743315,23.303624,17.587641,22.204396,23.083778,23.083778,23.303624,22.863933,18.906714,18.906714,17.4724,18.965,0.8643,1,0.08643,1,8.37,690.7
13,36.956915,32.378182,36.30281,29.107658,36.629862,33.686391,29.761763,26.164187,33.032286,34.340496,37.938072,37.938072,34.340496,34.667548,34.013443,28.126501,28.126501,24.284929,21.276177,23.855107,19.127068,24.070018,22.13582,19.55689,23.210375,22.780553,17.19287,21.705999,22.565642,22.565642,22.780553,22.350731,18.482335,18.482335,15.8684,17.3427,0.8449,0.9,0.08449,1,8.72,657.87
14,37.67427,33.006661,37.007468,29.672655,37.340869,34.340264,30.339456,26.672049,33.673462,35.007065,38.674472,38.674472,35.007065,35.340465,34.673664,28.672453,28.672453,24.756314,21.68916,24.318149,19.498335,24.537231,22.565489,19.9365,23.660901,23.222737,17.526594,22.127325,23.003654,23.003654,23.222737,22.784572,18.841088,18.841088,12.8416,14.3217,0.8613,0.8,0.08613,1,8.92,582.62
15,38.395999,33.638973,37.716424,30.241097,38.056211,34.998123,30.920672,27.183008,34.318548,35.677698,39.415362,39.415362,35.677698,36.017486,35.337911,29.221734,29.221734,25.230572,22.104661,24.784014,19.871867,25.007293,22.997778,20.318426,24.114175,23.667617,17.862352,22.55122,23.444337,23.444337,23.667617,23.221058,19.202029,19.202029,9.3296,8.3916,0.8778,0.7,0.08778,1,9.02,458.73
16,39.117728,34.271284,38.425379,30.809538,38.771554,35.655982,31.501887,27.693967,34.963633,36.348332,40.156252,40.156252,36.348332,36.694506,36.002157,29.771014,29.771014,25.704831,22.520162,25.249879,20.245398,25.477355,23.430068,20.700351,24.567449,24.112497,18.198111,22.975115,23.88502,23.88502,24.112497,23.657544,19.562969,19.562969,0.1076,0.7273,0.8943,0.6,0.08943,1,8.83,335.36
17,38.124804,33.401377,37.450028,30.0275,37.787416,34.750927,30.702276,26.991012,34.076152,35.425703,39.136967,39.136967,35.425703,35.76309,35.088315,29.015337,29.015337,25.052366,21.948533,24.608961,19.73151,24.830664,22.835343,20.174914,23.943854,23.50045,17.736188,22.391938,23.278747,23.278747,23.50045,23.057045,19.066403,19.066403,0,0,0.8716,0.5,0.08716,1,8.46,179.84
18,38.129178,33.405209,37.454325,30.030945,37.791752,34.754914,30.705798,26.994108,34.080062,35.429767,39.141457,39.141457,35.429767,35.767193,35.092341,29.018666,29.018666,25.05524,21.951051,24.611785,19.733773,24.833513,22.837962,20.177229,23.946601,23.503146,17.738223,22.394507,23.281418,23.281418,23.503146,23.05969,19.06859,19.06859,0,0,0.8717,0.3,0.08717,1,8.86,49.51
19,43.137542,37.793068,42.374046,33.975586,42.755794,39.32006,34.739082,30.539853,38.556564,40.083557,44.282786,44.282786,40.083557,40.465305,39.701808,32.830342,32.830342,28.34631,24.834377,27.844605,22.325854,28.095457,25.837787,22.827559,27.092048,26.590344,20.068184,25.336082,26.339491,26.339491,26.590344,26.088639,21.573298,21.573298,0,0,0.9862,0.1,0.09862,1,7.67,1.52
20,43.74117,38.32191,42.96699,34.45101,43.35408,39.87027,35.22519,30.9672,39.09609,40.64445,44.90244,44.90244,40.64445,41.03154,40.25736,33.28974,33.28974,28.742963,25.181887,28.234237,22.638262,28.4886,26.199337,23.146988,27.47115,26.962425,20.349,25.690613,26.708063,26.708063,26.962425,26.4537,21.875175,21.875175,0,0,1,0,0.1,1,6.55,0
21,42.148991,36.926992,41.402992,33.196993,41.775991,38.418992,33.942993,29.839994,37.672992,39.164992,43.267991,43.267991,39.164992,39.537992,38.791992,32.077993,32.077993,27.696719,24.265267,27.206511,21.81423,27.451615,25.245682,22.304437,26.4712,25.980993,19.608296,24.755474,25.735889,25.735889,25.980993,25.490785,21.078919,21.078919,0,0,0.9636,0,0.09636,1,6.33,0
22,38.868404,34.052849,38.180467,30.613167,38.524435,35.428722,31.301104,27.517454,34.740786,36.116658,39.900308,39.900308,36.116658,36.460626,35.77269,29.581263,29.581263,25.540996,22.376625,25.088943,20.11636,25.31497,23.280731,20.568413,24.410864,23.958811,18.082121,22.828678,23.732784,23.732784,23.958811,23.506758,19.438281,19.438281,0,0,0.8886,0,0.08886,1,5.77,0
23,35.154778,30.799319,34.53257,27.688277,34.843674,32.043736,28.310485,24.888339,31.421528,32.665944,36.088091,36.088091,32.665944,32.977049,32.35484,26.754964,26.754964,23.100719,20.238683,22.691857,18.194372,22.896288,21.056408,18.603234,22.078563,21.669701,16.354491,20.647545,21.46527,21.46527,21.669701,21.260839,17.581078,17.581078,0,0,0.8037,0,0.08037,1,5.15,0
24,30.872518,27.047604,30.326102,24.315523,30.59931,28.140437,24.861939,21.85665,27.59402,28.686853,31.692142,31.692142,28.686853,28.960061,28.413645,23.495898,23.495898,20.286783,17.773376,19.927725,15.978086,20.107254,18.491492,16.337144,19.389138,19.03008,14.362324,18.132434,18.850551,18.850551,19.03008,18.671021,15.439499,15.439499,0,0,0.7058,0,0.07058,1,5.15,0
